ID,vote
5001,0
5002,3
5003,2
5004,3
5005,0
5006,0
5007,2
5008,0
5009,4
5010,3
5011,4
5012,2
5013,2
5014,4
5015,5
5016,1
5017,6
5018,4
5019,2
5020,5
5021,3
5022,7
5023,2
5024,1
5025,0
5026,1
5027,1
5028,3
5029,1
5030,4
5031,4
5032,1
5033,2
5034,3
5035,2
5036,3
5037,5
5038,3
5039,3
5040,2
5041,10
5042,3
5043,6
5044,5
5045,2
5046,1
5047,2
5048,3
5049,5
5050,7
5051,1
5052,3
5053,2
5054,3
5055,5
5056,4
5057,1
5058,1
5059,2
5060,2
5061,1
5062,5
5063,2
5064,2
5065,1
5066,2
5067,1
5068,2
5069,2
5070,1
5071,0
5072,2
5073,4
5074,2
5075,4
5076,2
5077,2
5078,3
5079,1
5080,4
5081,5
5082,1
5083,3
5084,4
5085,5
5086,4
5087,0
5088,3
5089,5
5090,2
5091,2
5092,1
5093,1
5094,6
5095,4
5096,0
5097,3
5098,4
5099,5
5100,4
5101,2
5102,3
5103,6
5104,2
5105,3
5106,2
5107,3
5108,1
5109,4
5110,6
5111,1
5112,3
5113,1
5114,1
5115,2
5116,1
5117,3
5118,6
5119,3
5120,3
5121,1
5122,5
5123,3
5124,6
5125,3
5126,1
5127,5
5128,0
5129,3
5130,1
5131,5
5132,6
5133,5
5134,4
5135,2
5136,1
5137,3
5138,3
5139,4
5140,3
5141,2
5142,8
5143,1
5144,3
5145,3
5146,1
5147,5
5148,2
5149,9
5150,3
5151,4
5152,4
5153,2
5154,3
5155,3
5156,3
5157,3
5158,7
5159,2
5160,2
5161,1
5162,4
5163,1
5164,4
5165,2
5166,1
5167,1
5168,3
5169,2
5170,2
5171,1
5172,2
5173,3
5174,1
5175,4
5176,5
5177,3
5178,6
5179,3
5180,2
5181,4
5182,3
5183,0
5184,1
5185,0
5186,2
5187,1
5188,2
5189,1
5190,6
5191,4
5192,3
5193,3
5194,1
5195,6
5196,4
5197,3
5198,2
5199,0
5200,2
5201,1
5202,5
5203,3
5204,2
5205,5
5206,2
5207,2
5208,1
5209,4
5210,3
5211,4
5212,3
5213,2
5214,0
5215,2
